            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2433900.500000000, A.D. 1951-Sep-11 00:00:00.0000,  4.905021015713494E-02,  7.402736024925063E+08,  1.305150634318230E+00,  1.003848037122031E+02,  2.738893359793576E+02,  2.433971259630430E+06,  9.614653195206001E-07,  3.541219547891463E+02,  3.535090562017976E+02,  7.784570861673244E+08,  8.166405698421426E+08,  3.744284819129004E+08,
2433930.500000000, A.D. 1951-Oct-11 00:00:00.0000,  4.922203904323069E-02,  7.402707729860111E+08,  1.305155100484955E+00,  1.003828947724231E+02,  2.739482481377872E+02,  2.433971878882565E+06,  9.612102488228725E-07,  3.565635431610451E+02,  3.562033888250568E+02,  7.785947964560258E+08,  8.169188199260405E+08,  3.745278417920190E+08,
2433961.500000000, A.D. 1951-Nov-11 00:00:00.0000,  4.871501061407497E-02,  7.402714723445057E+08,  1.305140859219775E+00,  1.004018774622100E+02,  2.739605676580601E+02,  2.433972226878822E+06,  9.619778757014104E-07,  3.591084366632007E+02,  3.590159594532497E+02,  7.781805458975725E+08,  8.160896194506394E+08,  3.742289808250651E+08,
2433991.500000000, A.D. 1951-Dec-11 00:00:00.0000,  4.879112753537272E-02,  7.402712405100099E+08,  1.305154523423456E+00,  1.003903775797461E+02,  2.738796726048141E+02,  2.433971217708570E+06,  9.618628710916589E-07,  1.685558856977396E+00,  1.860661979460546E+00,  7.782425731500295E+08,  8.162139057900492E+08,  3.742737253091189E+08,
2434022.500000000, A.D. 1952-Jan-11 00:00:00.0000,  4.913109035503387E-02,  7.402659489871198E+08,  1.305215121419950E+00,  1.003728698227205E+02,  2.738233674186775E+02,  2.433970420209172E+06,  9.613575690995183E-07,  4.325814815838507E+00,  4.778094073020602E+00,  7.785152521849924E+08,  8.167645553828651E+08,  3.744704484276374E+08,
2434053.500000000, A.D. 1952-Feb-11 00:00:00.0000,  4.865312987335462E-02,  7.402752148059077E+08,  1.305086905814435E+00,  1.004054937073836E+02,  2.739237159303983E+02,  2.433971853620062E+06,  9.620644460700353E-07,  6.786640450536493E+00,  7.487688935715687E+00,  7.781338626860260E+08,  8.159925105661442E+08,  3.741953062194268E+08,
2434082.500000000, A.D. 1952-Mar-11 00:00:00.0000,  4.887973617478016E-02,  7.402735346051781E+08,  1.305135545337703E+00,  1.003941305849410E+02,  2.739194733281038E+02,  2.433971692140440E+06,  9.617240020063336E-07,  9.207352352181598E+00,  1.016090834052235E+01,  7.783174880828873E+08,  8.163614415605965E+08,  3.743277689326394E+08,
2434113.500000000, A.D. 1952-Apr-11 00:00:00.0000,  4.871770999062262E-02,  7.402747932109444E+08,  1.305087126085674E+00,  1.004005766441151E+02,  2.738938878426230E+02,  2.433971471933882E+06,  9.619673080240537E-07,  1.180451719529003E+01,  1.301867763875430E+01,  7.781862450142397E+08,  8.160976968175349E+08,  3.742330919118909E+08,
2434143.500000000, A.D. 1952-May-11 00:00:00.0000,  4.899055352803440E-02,  7.402637654904866E+08,  1.305206699802803E+00,  1.003843517161841E+02,  2.738727271485831E+02,  2.433971085841375E+06,  9.615749619293531E-07,  1.432418152453376E+01,  1.580031142034319E+01,  7.783979099647233E+08,  8.165320544389601E+08,  3.743857881632833E+08,
2434174.500000000, A.D. 1952-Jun-11 00:00:00.0000,  4.903867289884958E-02,  7.402643721382533E+08,  1.305222395921202E+00,  1.003834764434671E+02,  2.738937229405047E+02,  2.433971311260263E+06,  9.615007999739018E-07,  1.687963413331170E+01,  1.861243297740747E+01,  7.784379354256473E+08,  8.166114987130412E+08,  3.744146650837644E+08,
2434204.500000000, A.D. 1952-Jul-11 00:00:00.0000,  4.888215529738575E-02,  7.402618054115927E+08,  1.305189463410829E+00,  1.003874333174856E+02,  2.738532968519161E+02,  2.433970898196481E+06,  9.617431901518779E-07,  1.941105113924801E+01,  2.138581504164344E+01,  7.783071356873239E+08,  8.163524659630551E+08,  3.743203005608483E+08,
2434235.500000000, A.D. 1952-Aug-11 00:00:00.0000,  4.871013380018096E-02,  7.402549261382622E+08,  1.305126341387124E+00,  1.003930465780320E+02,  2.737818121532416E+02,  2.433970158230175E+06,  9.620175268355344E-07,  2.205476062620134E+01,  2.427514173812742E+01,  7.781591630902238E+08,  8.160634000421854E+08,  3.742135563623107E+08,
2434266.500000000, A.D. 1952-Sep-11 00:00:00.0000,  4.901627019724290E-02,  7.402681062275295E+08,  1.305180349374909E+00,  1.003888131557758E+02,  2.739148755985017E+02,  2.433971602877273E+06,  9.615275013513107E-07,  2.449886632460532E+01,  2.696444760143104E+01,  7.784235240082058E+08,  8.165789417888820E+08,  3.744042676824777E+08,
